There was once a farmer and his wife.[anki:play:q:0]	Existia/Havia/Tinha uma vez (era uma vez) um fazendeiro e sua esposa.
She had been married before[anki:play:q:0]	Ela tinha sido casada antes
her first husband had died[anki:play:q:0]	o primeiro marido dela tinha morrido
and now she was married again.[anki:play:q:0]	e agora ela era casada novamente.
They lived on a remote farm in the west of England[anki:play:q:0]	Eles moravam em uma remota fazenda no oeste da Inglaterra
and what a pair of fools they were![anki:play:q:0]	e que par de tolos eles eram!
Which of them was the most foolish?[anki:play:q:0]	Qual deles era o mais tolo?
Listen to the story and decide for yourself.[anki:play:q:0]	Escute a história e decida você mesmo.
In those days, there also lived an old soldier called Jack Hannaford.[anki:play:q:0]	Naqueles dias, existia (vivia) também um velho soldado chamado Jack Hannaford.
His coat was old and he was poor [anki:play:q:0]	Seu casaco era velho e ele era pobre
but nobody thought that Jack Hannaford was stupid[anki:play:q:0]	mas ninguém pensava que Jack Hannaford era estúpido/burro/bobo.
He was sly like a fox.[anki:play:q:0]	Ele era astuto/malicioso como uma raposa.
When he left the army[anki:play:q:0]	Quando ele deixou o exército
he walked all around the country[anki:play:q:0]	ele caminhou por todo o país
looking for ways to play his tricks [anki:play:q:0]	procurando por maneiras de “jogar seus truques” (fazer suas artimanhas).
After he had traveled for some time[anki:play:q:0]	Depois que ele tinha viajado por algum tempo
he came across the farm belonging to the pair.[anki:play:q:0]	ele deu de cara com a fazenda que pertencia ao par (ao casal).
He knocked on the door of the house,[anki:play:q:0]	Ele bateu na porta da casa
and a moment later, the wife answered [anki:play:q:0]	e “um momento depois” (pouco depois) a esposa respondeu.
She looked him up and down, quite astonished[anki:play:q:0]	Ela olhou ele de cima a baixo, muito surpresa
because few strangers were able to make the difficult journey to their home[anki:play:q:0]	porque poucos desconhecidos eram capazes de fazer a difícil jornada até a casa deles.
Where did you come from?” she asked [anki:play:q:0]	“De onde você veio?”, ela perguntou.
Jack looked up at the pale blue sky[anki:play:q:0]	Jack olhou para o céu azul claro
and he said, “I came from Heaven.”[anki:play:q:0]	e ele disse, “eu vim do céu”.
“My goodness!”, she said.[anki:play:q:0]	“Meu Deus!”, ela disse.
“Did you see my husband there?”[anki:play:q:0]	“Você viu meu marido lá?”
The farmer’s wife was talking about her first husband[anki:play:q:0]	A esposa do fazendeiro estava falando sobre o primeiro marido dela,
the man who had died[anki:play:q:0]	o homem que tinha morrido
“Oh yes, I got to know him well[anki:play:q:0]	“Ah sim, eu conheci ele bem
when I was staying in Heaven,” said Jack.[anki:play:q:0]	quando eu estava ficando/passando um tempo no céu”, disse Jack.
“And how is he doing?”, asked the woman.[anki:play:q:0]	“E como ele está?”, perguntou a mulher.
He is fine,” replied the old soldier.[anki:play:q:0]	“Ele está bem”, respondeu o velho soldado.
He works hard sewing and mending clothes for the saints and angels [anki:play:q:0]	Ele trabalha duro costurando e remendando roupas para as santidades e os anjos
but even so, he sometimes doesn’t have enough money to eat.[anki:play:q:0]	mas mesmo assim, ele às vezes não tem dinheiro o suficiente para comer.
“And did he send me a message?”, she asked.[anki:play:q:0]	“E ele me mandou uma mensagem?”, ela perguntou.
Yes, he did![anki:play:q:0]	Sim, ele mandou!
That is why I’ve come here.[anki:play:q:0]	É por isso que eu vim aqui.
He asked me to bring back some money for him,[anki:play:q:0]	Ele me pediu para trazer de volta um pouco de dinheiro para ele,
so that he can spend his days in paradise more comfortably.[anki:play:q:0]	para que/de modo que ele possa passar seus dias no paraíso mais confortavelmente.
On hearing this, the poor woman’s heart almost broke with pity.[anki:play:q:0]	Ao ouvir isso, o coração da pobre mulher quase quebrou com/de piedade.
I’ll give him anything he wants![anki:play:q:0]	Eu vou dar a ele qualquer coisa que ele quiser!
“He’s a good man, God bless him,” she said.[anki:play:q:0]	“Ele é um bom homem, Deus o abençoe”, ela disse.
Then she went to the chimney[anki:play:q:0]	Então ela foi até a chaminé
where the couple’s savings were kept hidden.[anki:play:q:0]	onde as economias do casal eram mantidas (ficavam) escondidas.
She took out two pieces of gold and five pieces of silver,[anki:play:q:0]	Ela pegou/retirou duas moedas de ouro e cinco moedas de prata,
which in those days was a lot of money.[anki:play:q:0]	o que naqueles dias era muito dinheiro.
She handed everything over to the old soldier[anki:play:q:0]	Ela entregou tudo para o velho soldado
and told him to hurry up and give it to her first husband.[anki:play:q:0]	e falou para ele se apressar e dar (isso) para seu primeiro marido.
“I will,” Jack told the woman,[anki:play:q:0]	“Eu vou”, Jack falou para a mulher,
“as soon as I return to Heaven.”[anki:play:q:0]	"""assim que eu retornar ao céu”."
When the farmer came back,[anki:play:q:0]	Quando o fazendeiro voltou
his wife told him all about how a messenger had come from Heaven.[anki:play:q:0]	a esposa dele contou para ele tudo sobre como um mensageiro tinha vindo do céu.
She said that the man asked for money for her first husband,[anki:play:q:0]	Ela disse que o homem pediu dinheiro para seu primeiro marido,
who was living and working in Heaven, but who was poor.[anki:play:q:0]	que estava vivendo (morando) e trabalhando no céu, mas que era pobre.
“You are a foolish woman!” shouted the farmer.[anki:play:q:0]	“Você é uma mulher tola!”, gritou o fazendeiro.
“How could you believe such a silly story?”[anki:play:q:0]	“Como você pôde acreditar em uma história tão boba?”
“Well, you are even more foolish,” said the woman,[anki:play:q:0]	“Bom, você é ainda mais tolo”, disse a mulher.
“because you showed me where the money was hidden.”[anki:play:q:0]	“porque você me mostrou onde o dinheiro estava escondido.”
The husband did not agree with what she said,[anki:play:q:0]	O marido não concordou com o que ela disse,
but he did not stay to argue.[anki:play:q:0]	mas ele não ficou para discutir.
He hurried off on his horse to try to find the old soldier[anki:play:q:0]	Ele partiu às pressas em seu cavalo para tentar encontrar o velho soldado
before he got too far away.[anki:play:q:0]	antes que ele chegasse/ficasse muito longe.
Jack Hannaford heard the sound of the horse behind him.[anki:play:q:0]	Jack Hannaford ouviu o som do cavalo atrás dele.
He knew that the farmer was coming for him and for the money.[anki:play:q:0]	Ele sabia que o fazendeiro estava vindo atrás dele e do dinheiro.
Quickly, he came up with a plan.[anki:play:q:0]	Rapidamente, ele inventou (“bolou”) um plano.
He knelt by the side of the road,[anki:play:q:0]	Ele ajoelhou-se ao lado da estrada,
covered his eyes with one hand,[anki:play:q:0]	cobriu seus olhos com uma mão,
and pointed up to the sky with the other.[anki:play:q:0]	e apontou para o céu com a outra.
The farmer soon reached him and asked:[anki:play:q:0]	O fazendeiro logo o alcançou e perguntou:
"""What are you doing here by the side of the road?""[anki:play:q:0]"	"""O que você está fazendo aqui ao lado da estrada?"""
“Why are you protecting your eyes”[anki:play:q:0]	“Por que você está protegendo os seus olhos”
"""and pointing up to the sky?""[anki:play:q:0]"	"""e apontando para o céu?"""
“It is amazing! It is God’s work!” shouted the man.[anki:play:q:0]	“É incrível! É uma obra de Deus!”, gritou o homem.
“I see a wonderful thing!”[anki:play:q:0]	“Eu vejo uma coisa maravilhosa!”
“What kind of wonderful thing?” asked the farmer.[anki:play:q:0]	“Que tipo de coisa maravilhosa?”, perguntou o fazendeiro.
“A man is walking straight up to Heaven on a rainbow,”[anki:play:q:0]	“Um homem está andando diretamente para o céu em um arco-íris”,
"""just as if it were a road.""[anki:play:q:0]"	"""exatamente como se fosse uma estrada."""
The farmer looked at the sky,[anki:play:q:0]	O fazendeiro olhou para o céu,
but he could not see the amazing rainbow[anki:play:q:0]	mas ele não conseguiu ver o incrível arco-íris
or the man walking on it.[anki:play:q:0]	ou o homem andando sobre ele.
“Here,” said the soldier,[anki:play:q:0]	“Aqui,”, disse o soldado,
“kneel down by the side of the road”[anki:play:q:0]	“ajoelhe-se ao lado da estrada”
“and look up at the sky like I’m doing.”[anki:play:q:0]	“e olhe para o céu como eu estou fazendo.”
"""I will if you’ll hold my horse,"" said the farmer,[anki:play:q:0]"	"""Eu vou se você segurar meu cavalo"", disse o fazendeiro,"
and he jumped down from his horse.[anki:play:q:0]	e ele pulou do seu cavalo.
As soon as the farmer knelt down,[anki:play:q:0]	Logo que o fazendeiro ajoelhou-se,
Jack Hannaford jumped onto the horse and escaped![anki:play:q:0]	Jack Hannaford pulou no cavalo e escapou!
Now, who do you think was more foolish, the farmer or his wife?[anki:play:q:0]	Agora, quem você acha que foi mais tolo, o fazendeiro ou sua esposa?
In the Far East there was a Great King[anki:play:q:0]	No Extremo Oriente havia um Grande Rei
who had no work to do.[anki:play:q:0]	que não tinha nenhum trabalho para fazer.
Every day, and all day long,[anki:play:q:0]	Todos os dias, e o dia todo,
he sat on soft cushions and listened to stories.[anki:play:q:0]	ele se sentava em almofadas macias e escutava histórias.
And no matter what the story was about,[anki:play:q:0]	E não importa sobre o que era a história,
he never grew tired of hearing it,[anki:play:q:0]	ele nunca se cansava de escutá-la,
even though many of the stories took hours to complete.[anki:play:q:0]	mesmo que muitas histórias levassem horas para acabar.
“There is only one fault with your story,” he often said,[anki:play:q:0]	“Há apenas uma falha na sua história,” ele frequentemente dizia,
“it is too short.”[anki:play:q:0]	“ela é muito curta.”
All the storytellers in the world were invited to his palace;[anki:play:q:0]	Todos os contadores de histórias do mundo eram convidados ao seu palácio;
and some of them told stories that were very long indeed.[anki:play:q:0]	e alguns deles contavam histórias que eram realmente muito longas.
But The King was always sad[anki:play:q:0]	Mas o Rei estava sempre triste
when the story ended.[anki:play:q:0]	quando a história acabava.
At last he sent a message to every city and town,[anki:play:q:0]	Finalmente ele enviou uma mensagem a toda cidade grande e cidade pequena,
offering a prize to any one able to tell him an endless tale.[anki:play:q:0]	oferecendo um prêmio a qualquer um capaz de contar a ele um conto sem fim.
He said: “To the man that will tell me a story which lasts forever,[anki:play:q:0]	Ele disse: “Ao homem que irá me contar uma história que dure para sempre,
I will give my daughter as his wife;[anki:play:q:0]	Eu darei minha filha como sua esposa;
and I will make him my heir,[anki:play:q:0]	e eu farei dele meu herdeiro,
"and he shall be king after me.""[anki:play:q:0]"	"e ele será rei depois de mim."""
But this challenge wasn’t quite what it seemed.[anki:play:q:0]	Mas este desafio não era muito (exatamente) o que parecia.
The King added a strict condition.[anki:play:q:0]	O Rei adicionou uma condição rigorosa.
“If any man tries to tell such a story and fails,[anki:play:q:0]	“Se qualquer homem tentar contar tal história e falhar,
